# Data source: VanderSat
# Creation date: 2024-10-22
# Copyright: 2024, VanderSat B.V.
# Documentation: https://docs.vandersat.com/
# Contact information: https://vandersat.com/contact/
# Unit K
date,LST-AMSR2-DESC_V1.0_1000
2017-03-12,266.5352
2017-03-13,267.8281
2017-03-14,267.0449
2017-03-15,267.4043
2017-03-16,274.5723
2017-03-17,275.0310
2017-03-18,271.9990
2017-03-19,275.7354
2017-03-20,271.7187
2017-03-21,270.9103
2017-03-22,270.7970
2017-03-23,274.5325
2017-03-24,272.6724
2017-03-25,273.4723
2017-03-26,275.0151
2017-03-27,272.9859
2017-03-28,273.3014
2017-03-29,273.3166
2017-03-30,273.7439
2017-03-31,273.6405
2017-04-01,273.8410
2017-04-02,275.3334
2017-04-03,272.8698
2017-04-04,273.0642
2017-04-05,271.7306
2017-04-06,272.1786
2017-04-07,274.4872
2017-04-08,278.6262
2017-04-09,275.4805
2017-04-10,272.2779
2017-04-11,272.1250
2017-04-12,272.7450
2017-04-13,275.2918
2017-04-14,283.0571
2017-04-15,277.9247
2017-04-16,273.9740
2017-04-17,272.0599
2017-04-18,273.9341
2017-04-19,274.1969
2017-04-20,273.5033
2017-04-21,272.9094
2017-04-22,276.3133
2017-04-23,274.6545
2017-04-24,274.1504
2017-04-25,273.0451
2017-04-26,272.5283
2017-04-27,272.1055
2017-04-28,271.6492
2017-04-29,272.9182
2017-04-30,274.1821
2017-05-01,276.0415
2017-05-02,275.9706
2017-05-03,277.2132
2017-05-04,276.3288
2017-05-05,280.7881
2017-05-06,281.8037
2017-05-07,283.2523
2017-05-08,285.1706
2017-05-09,276.7401
2017-05-10,280.1173
2017-05-11,278.1595
2017-05-12,281.9006
2017-05-13,283.2123
2017-05-14,283.1728
2017-05-15,281.3926
2017-05-16,281.3837
2017-05-17,281.2506
2017-05-18,276.1699
2017-05-19,275.6203
2017-05-20,279.1904
2017-05-21,276.2903
2017-05-22,278.6285
2017-05-23,278.7606
2017-05-24,279.2320
2017-05-25,281.4620
2017-05-26,282.9992
2017-05-27,281.0790
2017-05-28,280.8759
