# Data source: VanderSat
# Creation date: 2024-10-22
# Copyright: 2024, VanderSat B.V.
# Documentation: https://docs.vandersat.com/
# Contact information: https://vandersat.com/contact/
# Unit m3/m3
date,SM-AMSR2-C1-DESC_V5.0_1000
2018-09-04,0.2062
2018-09-05,0.1863
2018-09-06,0.1926
2018-09-07,0.1920
2018-09-08,0.1941
2018-09-09,0.2087
2018-09-10,0.1795
2018-09-11,0.1930
2018-09-12,0.1579
2018-09-13,0.2038
2018-09-14,0.1786
2018-09-15,0.2088
2018-09-16,0.2109
2018-09-17,0.1732
2018-09-18,0.1802
2018-09-19,0.1708
2018-09-20,0.1852
2018-09-21,0.3267
2018-09-22,0.3044
2018-09-23,0.2803
2018-09-24,0.2699
2018-09-25,0.2608
2018-09-26,0.2638
2018-09-27,0.2580
2018-09-28,0.2629
2018-09-29,0.2404
2018-09-30,0.2486
2018-10-01,0.2685
2018-10-02,0.2581
2018-10-03,0.2588
2018-10-04,0.2907
2018-10-05,0.3316
2018-10-06,0.3145
2018-10-07,0.3101
2018-10-08,0.3273
2018-10-09,0.3392
2018-10-10,0.3341
2018-10-11,0.2924
2018-10-12,0.2637
2018-10-13,0.3052
2018-10-14,0.2920
2018-10-15,0.2384
2018-10-16,0.2990
2018-10-17,0.2692
2018-10-18,0.2799
2018-10-19,0.2518
2018-10-20,0.2514
2018-10-21,0.2526
2018-10-22,0.2368
2018-10-23,0.2322
2018-10-24,0.2476
2018-10-25,0.2253
2018-10-26,0.2319
2018-10-27,0.2299
2018-10-28,0.2658
2018-10-29,0.2748
2018-10-30,0.3002
2018-10-31,0.2813
2018-11-01,0.2695
2018-11-02,0.2897
2018-11-03,0.3043
2018-11-04,0.3002
2018-11-05,0.2939
2018-11-06,0.2780
2018-11-07,0.2296
2018-11-08,0.2093
2018-11-09,0.2000
2018-11-10,0.2095
2018-11-11,0.2192
2018-11-12,0.2232
2018-11-13,0.2112
2018-11-14,0.2251
2018-11-15,0.2639
2018-11-16,0.2421
2018-11-17,0.2052
2018-11-18,0.2099
2018-11-19,0.2041
2018-11-20,0.2158
2018-11-21,0.2193
2018-11-22,0.2153
2018-11-23,0.2411
2018-11-24,0.2336
2018-11-25,0.2235
2018-11-26,0.2203
2018-11-27,0.2228
2018-11-28,0.2417
2018-11-29,0.2588
2018-11-30,0.2593
2018-12-01,0.2776
2018-12-02,0.2403
2018-12-03,0.2417
2018-12-04,0.2397
2018-12-05,0.2420
2018-12-06,0.2339
2018-12-07,0.2392
2018-12-08,0.2374
2018-12-09,0.2421
2018-12-10,0.2483
2018-12-11,0.2484
2018-12-12,0.2362
2018-12-13,0.2460
2018-12-14,0.2457
2018-12-15,0.2380
2018-12-16,
2018-12-17,0.2503
2018-12-18,0.2575
2018-12-19,0.2686
2018-12-20,0.2438
2018-12-21,0.2409
2018-12-22,0.2328
2018-12-23,0.2332
2018-12-24,0.2395
2018-12-25,0.2403
2018-12-26,0.2396
2018-12-27,0.2505
2018-12-28,0.2553
2018-12-29,0.2544
2018-12-30,0.2536
2018-12-31,0.2451
2019-01-01,0.2614
2019-01-02,0.2555
2019-01-03,0.2523
2019-01-04,0.2527
2019-01-05,0.2564
2019-01-06,0.2312
2019-01-07,0.2442
2019-01-08,0.2407
2019-01-09,0.2394
2019-01-10,0.2487
2019-01-11,0.2479
2019-01-12,0.2425
2019-01-13,0.2394
2019-01-14,0.2404
2019-01-15,0.2398
2019-01-16,0.2373
2019-01-17,0.2409
2019-01-18,0.2358
2019-01-19,0.2362
2019-01-20,0.2397
2019-01-21,0.2432
2019-01-22,0.2398
2019-01-23,0.2361
2019-01-24,0.2535
2019-01-25,0.2521
2019-01-26,0.2517
2019-01-27,0.2578
2019-01-28,0.2482
2019-01-29,0.2558
2019-01-30,0.2589
2019-01-31,0.2654
2019-02-01,0.2560
2019-02-02,0.2555
2019-02-03,0.2584
2019-02-04,0.2394
2019-02-05,0.2495
2019-02-06,0.2370
2019-02-07,0.2452
2019-02-08,0.2501
2019-02-09,0.2528
2019-02-10,0.2420
2019-02-11,0.2455
2019-02-12,0.2521
2019-02-13,0.2585
2019-02-14,0.2502
2019-02-15,0.2531
2019-02-16,0.2560
2019-02-17,0.2448
2019-02-18,0.2469
2019-02-19,0.2516
2019-02-20,0.2463
2019-02-21,0.2439
2019-02-22,0.2329
2019-02-23,0.2391
2019-02-24,0.2422
2019-02-25,0.2549
2019-02-26,0.2438
2019-02-27,0.2185
2019-02-28,0.2593
2019-03-01,0.2641
2019-03-02,0.2528
2019-03-03,0.2485
2019-03-04,0.2753
2019-03-05,0.2440
2019-03-06,0.2571
2019-03-07,0.2640
2019-03-08,0.2253
2019-03-09,0.2402
2019-03-10,0.2439
2019-03-11,0.2639
2019-03-12,0.2536
2019-03-13,0.2961
2019-03-14,0.2704
2019-03-15,0.2661
2019-03-16,0.2663
2019-03-17,0.2697
2019-03-18,
2019-03-19,0.2651
2019-03-20,0.2898
2019-03-21,0.2839
2019-03-22,0.2970
2019-03-23,0.3386
2019-03-24,0.3747
2019-03-25,0.3148
2019-03-26,0.3572
2019-03-27,0.3426
2019-03-28,0.3557
2019-03-29,0.3193
2019-03-30,0.2974
2019-03-31,0.3355
2019-04-01,0.3279
2019-04-02,0.3472
2019-04-03,0.3214
2019-04-04,0.3420
2019-04-05,0.3988
2019-04-06,0.3900
2019-04-07,0.4111
2019-04-08,0.3892
2019-04-09,0.3830
2019-04-10,0.3516
2019-04-11,0.3244
2019-04-12,0.3141
2019-04-13,0.3050
2019-04-14,0.3318
2019-04-15,0.3566
2019-04-16,0.3664
2019-04-17,0.3698
2019-04-18,0.3697
2019-04-19,0.3870
2019-04-20,0.3646
2019-04-21,0.3490
2019-04-22,0.3617
2019-04-23,0.3676
2019-04-24,0.3313
2019-04-25,0.3028
2019-04-26,0.3229
2019-04-27,0.3156
2019-04-28,0.3254
2019-04-29,0.3649
2019-04-30,0.3668
2019-05-01,0.3595
2019-05-02,0.3513
2019-05-03,0.3397
2019-05-04,0.3125
2019-05-05,0.3047
2019-05-06,0.2988
2019-05-07,0.3023
2019-05-08,0.2942
2019-05-09,0.3065
2019-05-10,0.2826
2019-05-11,0.2715
2019-05-12,0.2909
2019-05-13,0.2648
2019-05-14,0.2425
2019-05-15,0.2296
2019-05-16,0.2648
2019-05-17,0.2285
2019-05-18,0.3025
2019-05-19,0.3312
2019-05-20,0.2948
2019-05-21,0.2749
2019-05-22,0.2944
2019-05-23,0.3371
2019-05-24,0.2775
2019-05-25,0.3622
2019-05-26,0.3063
2019-05-27,0.2956
2019-05-28,0.2743
2019-05-29,0.2527
2019-05-30,0.2377
2019-05-31,0.2199
2019-06-01,0.2129
2019-06-02,0.1932
2019-06-03,0.2026
2019-06-04,0.2267
2019-06-05,0.1810
2019-06-06,0.1869
2019-06-07,0.1931
2019-06-08,0.2341
2019-06-09,0.2703
2019-06-10,0.2302
2019-06-11,0.1837
2019-06-12,0.1989
2019-06-13,0.1834
2019-06-14,0.2147
2019-06-15,0.2288
2019-06-16,0.2650
2019-06-17,0.2527
2019-06-18,0.2094
2019-06-19,0.1889
2019-06-20,0.2296
2019-06-21,0.2446
2019-06-22,0.3010
2019-06-23,0.2644
2019-06-24,0.2185
2019-06-25,0.2497
2019-06-26,0.2207
2019-06-27,0.1746
2019-06-28,0.1811
2019-06-29,0.2163
2019-06-30,0.2372
2019-07-01,0.1995
2019-07-02,0.2091
2019-07-03,0.2320
2019-07-04,0.2554
2019-07-05,0.2162
2019-07-06,0.2195
2019-07-07,0.1931
2019-07-08,0.1749
2019-07-09,0.2385
2019-07-10,0.2768
2019-07-11,0.2645
2019-07-12,0.2304
2019-07-13,0.2324
2019-07-14,0.1995
2019-07-15,0.2112
2019-07-16,0.1795
2019-07-17,0.1854
2019-07-18,0.2058
2019-07-19,0.1860
2019-07-20,0.1402
2019-07-21,0.1569
2019-07-22,0.1955
2019-07-23,0.1708
2019-07-24,0.1662
2019-07-25,0.1713
